identifier,date,chargedAmount,originalCurrency,type,category,description,status
24118807768,2023-08-20T21:23:45.000Z,-51.58,₪,normal,ביטוח ופיננסים,"הראל-ביטוחי חו""ל",completed
24119308384,2023-08-20T16:19:41.000Z,-168.43,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
24108120408,2023-08-18T00:23:47.000Z,-110,₪,normal,תקשורת ומחשבים,"חברת פרטנר תקשורת בע""מ (הו""ק)",completed
24083497646,2023-08-14T12:04:19.000Z,-721.81,₪,normal,ריהוט ובית,"חברת החשמל לישראל בע""מ",completed
24061692800,2023-08-09T21:00:00.000Z,-2435.22,$,normal,תיירות,mytrip_il_MFPUAN,completed
24061649188,2023-08-09T21:00:00.000Z,-16,₪,normal,שונות,BIT,completed
24061467394,2023-08-09T21:00:00.000Z,-1895.42,€,normal,תיירות,BKG*HOTEL AT BOOKING.C,completed
24038327879,2023-08-07T08:30:36.000Z,-126.74,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
24035474951,2023-08-04T21:00:00.000Z,-52.98,€,normal,,TAP&GO MI CADORNA 03,completed
24035474499,2023-08-03T21:00:00.000Z,-8.97,€,normal,,CLESS TICKET ATM MILANO,completed
24011326921,2023-08-01T21:00:00.000Z,-55.7,CHF,normal,מזון ומשקאות,Volg Laden Wilderswil,completed
24004444899,2023-07-31T21:00:00.000Z,-168.13,CHF,normal,מלונאות ואירוח,Hotel Jungfrau Murren AG,completed
23647423042,2023-06-05T21:00:00.000Z,-16,₪,normal,שונות,BIT,completed
23998824193,2023-07-30T21:00:00.000Z,-118,CHF,normal,מסעדות,SUMUP *FOODPOINT 02 GMBH,completed
23998710345,2023-07-30T21:00:00.000Z,-301.75,CHF,normal,רכב ותחבורה,BOB Lauterbrunnen,completed
23937115617,2023-07-21T07:58:50.000Z,-25,₪,normal,מסעדות,mae,completed
23937115615,2023-07-21T07:49:04.000Z,-44,₪,normal,מסעדות,mae,completed
23904816899,2023-07-17T23:53:46.000Z,-110,₪,normal,תקשורת ומחשבים,"חברת פרטנר תקשורת בע""מ (הו""ק)",completed
23474090738,2023-05-08T21:00:00.000Z,-16,₪,normal,שונות,BIT,completed
23748003691,2023-06-23T17:56:36.000Z,-110,₪,normal,מסעדות,WOLT,completed
23737474696,2023-06-21T11:49:00.000Z,-7,₪,normal,מסעדות,לב הנהלה,completed
23736263292,2023-06-21T11:47:27.000Z,-66,₪,normal,תעשיה ומכירות,הייטקזון - מתנות ואתר,completed
23713089570,2023-06-17T23:42:25.000Z,-110,₪,normal,תקשורת ומחשבים,"חברת פרטנר תקשורת בע""מ (הו""ק)",completed
23708045650,2023-06-16T13:20:53.000Z,-280,₪,normal,מסעדות,האחים,completed
23434246139,2023-04-28T21:00:00.000Z,-240,₪,normal,שונות,BIT,completed
23570127491,2023-05-25T10:29:56.000Z,-45.8,₪,normal,מזון ומשקאות,סופר מימון,completed
23526210761,2023-05-18T06:30:18.000Z,-409.84,₪,normal,ריהוט ובית,"חברת החשמל לישראל בע""מ",completed
23521167663,2023-05-17T23:56:00.000Z,-110,₪,normal,תקשורת ומחשבים,"חברת פרטנר תקשורת בע""מ (הו""ק)",completed
23455598955,2023-05-05T08:13:09.000Z,-470.58,₪,normal,מוסדות,עיריית תל אביב-יפו-ארנונה,completed
23400160546,2023-04-27T19:14:37.000Z,-110,₪,normal,מסעדות,- 1 לה לונה - יפת תמיר ני,completed
23360691304,2023-04-21T00:18:52.000Z,-110,₪,normal,תקשורת ומחשבים,"חברת פרטנר תקשורת בע""מ (הו""ק)",completed
23378202269,2023-04-17T10:24:16.000Z,-513.15,₪,normal,ריהוט ובית,"חברת החשמל לישראל בע""מ",completed
22997004672,2023-02-15T22:00:00.000Z,-820,₪,normal,שונות,BIT,completed
22911044237,2023-02-03T22:00:00.000Z,-371.02,THB,normal,מלונאות ואירוח,SANTHIYA KOH YAO YAI RESO,completed
23177314087,2023-03-20T14:21:47.000Z,-53,₪,normal,רכב ותחבורה,GETT,completed
23163457161,2023-03-19T01:15:25.000Z,-107.86,₪,normal,תקשורת ומחשבים,"חברת פרטנר תקשורת בע""מ (הו""ק)",completed
23108317489,2023-03-08T10:59:00.000Z,-22,₪,normal,מסעדות,פלאפל 4 טעמים אבן גבירול,completed
23102128486,2023-03-07T20:48:02.000Z,-471.34,₪,normal,מוסדות,עיריית תל אביב-יפו-ארנונה,completed
23092660861,2023-03-05T18:54:00.000Z,-39,₪,normal,אופנה,בי מגניב בע''מ,completed
23099582885,2023-03-05T08:02:00.000Z,-379,₪,normal,ריהוט ובית,פטיש ומסמר -MP,completed
22895184718,2023-01-29T22:00:00.000Z,-13.65,THB,normal,מזון ומשקאות,7-11 BANTHONGKRUT,completed
22869146039,2023-01-27T22:00:00.000Z,-1643.79,THB,normal,מלונאות ואירוח,SABAI SABAI WELLNESS-M/O,completed
22860835779,2023-01-25T22:00:00.000Z,-360.67,$,normal,תיירות,AGODA.COM,completed
22860835746,2023-01-25T22:00:00.000Z,-794.53,$,normal,תיירות,AGODA.COM,completed
22848218128,2023-01-23T22:00:00.000Z,-76.55,THB,normal,,WWW.2C2P.COM*WWW.2C2P.COM,completed
22860894355,2023-01-22T22:00:00.000Z,-11.77,SGD,normal,,BUS/MRT 224459639,completed
22856761920,2023-01-22T22:00:00.000Z,-120.36,SGD,normal,מלונאות ואירוח,ARTSCIENCE MUSEUM TICKET,completed
22848213396,2023-01-22T22:00:00.000Z,-41.46,THB,normal,רכב ותחבורה,WWW.GRAB.COM,completed
22842757690,2023-01-22T22:00:00.000Z,-2.18,THB,normal,מזון ומשקאות,LAWSON108_P3708-SUVARNABH,completed
22856771330,2023-01-21T22:00:00.000Z,-31,SGD,normal,מסעדות,049-ST10 (RASAPURA),completed
22856765311,2023-01-21T22:00:00.000Z,-4.15,SGD,normal,,BUS/MRT 224186765,completed
22856765279,2023-01-20T22:00:00.000Z,-6.49,SGD,normal,,BUS/MRT 223938822,completed
22825999721,2023-01-20T22:00:00.000Z,-41.74,NZD,normal,רכב ותחבורה,Gold Band Taxis,completed
22825646677,2023-01-19T22:00:00.000Z,-200.37,NZD,normal,אנרגיה,MCKEOWN GROUP LIMITED,completed
22822155383,2023-01-19T22:00:00.000Z,-44.39,NZD,normal,אנרגיה,MOBIL WIGRAM,completed
22815908458,2023-01-17T22:00:00.000Z,-92.21,NZD,normal,מלונאות ואירוח,CHEVIOT MCC,completed
22810287923,2023-01-16T22:00:00.000Z,-220.36,NZD,normal,אנרגיה,MCKEOWN GROUP LIMITED,completed
22803981096,2023-01-16T22:00:00.000Z,-661.35,NZD,normal,תיירות,Bookme.Co.Nz,completed
22795416962,2023-01-13T22:00:00.000Z,-112.99,NZD,normal,,GLENTANNER PARK,completed
22774644549,2023-01-10T22:00:00.000Z,-99.64,NZD,normal,,DUNEDIN HOLIDAY PARK,completed
22774618110,2023-01-10T22:00:00.000Z,-4.43,NZD,normal,,PAY MY PARK,completed
22774482101,2023-01-10T22:00:00.000Z,-148.43,NZD,normal,אנרגיה,RD PETROLEUM LIMITED,completed
22763083134,2023-01-09T22:00:00.000Z,-39.61,NZD,normal,מלונאות ואירוח,WWW.BOOKIT.CO.NZ,completed
22746021770,2023-01-05T22:00:00.000Z,-853.45,$,normal,תיירות,ETRAVELI.Flightmytrip_il_,completed
22739025408,2023-01-04T22:00:00.000Z,-774.75,NZD,normal,תיירות,Bookme.Co.Nz,completed
22719955476,2022-12-31T22:00:00.000Z,-299.97,NZD,normal,אנרגיה,MGL WANAKA,completed
23053605046,2023-02-27T22:08:00.000Z,-68,₪,normal,שונות,"העברה ב BIT בנה""פ",completed
23017297198,2023-02-22T11:01:00.000Z,-40,₪,normal,מסעדות,בית החומוס והפול,completed
23017297197,2023-02-22T11:01:00.000Z,-40,₪,normal,מסעדות,בית החומוס והפול,completed
23009720274,2023-02-21T10:28:00.000Z,-39,₪,normal,מסעדות,פיתה בסטה שרונה מרקט,completed
22991762932,2023-02-19T01:39:12.000Z,-100,₪,normal,תקשורת ומחשבים,"חברת פרטנר תקשורת בע""מ (הו""ק)",completed
22975936385,2023-02-15T10:20:31.000Z,-55,₪,normal,מסעדות,ציקן סטיישן חשמונאים,completed
22969764395,2023-02-14T10:16:00.000Z,-45,₪,normal,מסעדות,בנדורה,completed
22945586980,2023-02-11T18:27:48.000Z,-141,₪,normal,,"רב חן ת""א- אינטרנט",completed
22948236337,2023-02-11T17:26:07.000Z,-450.11,₪,normal,מוסדות,עיריית תל אביב-יפו-ארנונה,completed
22910420724,2023-02-01T04:37:12.000Z,-595.32,₪,normal,ריהוט ובית,"חברת החשמל לישראל בע""מ",completed
22711900334,2022-12-30T22:00:00.000Z,-59.5,NZD,normal,מסעדות,PIZZA PIZZA,completed
22704207905,2022-12-28T22:00:00.000Z,-173.4,NZD,normal,אנרגיה,FOX GLACIER MOTORS,completed
22685575281,2022-12-27T22:00:00.000Z,-48.51,NZD,normal,מזון ומשקאות,Four Square Franz Josef,completed
22664152922,2022-12-23T22:00:00.000Z,-185.43,NZD,normal,אנרגיה,Challenge Greymouth,completed
22657264856,2022-12-22T22:00:00.000Z,-90.03,NZD,normal,מלונאות ואירוח,WWW.BOOKIT.CO.NZ,completed
22657287393,2022-12-21T22:00:00.000Z,-67.24,NZD,normal,מוסדות,DEPARTMENT OF CONSERVATIO,completed
22652258091,2022-12-21T22:00:00.000Z,-222.36,NZD,normal,אנרגיה,NPD WAIMEA,completed
22617451889,2022-12-15T22:00:00.000Z,-45.17,NZD,normal,מסעדות,RIVERLANDS ROADHOUSE,completed
22611176219,2022-12-15T22:00:00.000Z,-264.79,NZD,normal,אנרגיה,MOBIL KILBIRNIE,completed
22617455087,2022-12-14T22:00:00.000Z,-113.73,NZD,normal,מלונאות ואירוח,WELLINGTON TOP 10,completed
22610634666,2022-12-14T22:00:00.000Z,-130.15,NZD,normal,מסעדות,YELLOW HOUSE CAFE,completed
22602449181,2022-12-13T22:00:00.000Z,-269.32,NZD,normal,מלונאות ואירוח,Discovery Lodge Motel,completed
22602427182,2022-12-13T22:00:00.000Z,-89.79,NZD,normal,מלונאות ואירוח,Discovery Lodge Motel,completed
22602194139,2022-12-12T22:00:00.000Z,-194.86,NZD,normal,תיירות,WAIMANGU VOLCANIC VALLEY,completed
22602173686,2022-12-12T22:00:00.000Z,-266.7,NZD,normal,אנרגיה,BP CONNECT WAIRAKEI,completed
22596772573,2022-12-12T22:00:00.000Z,-89.18,NZD,normal,מלונאות ואירוח,Discovery Lodge Motel,completed
22596770083,2022-12-12T22:00:00.000Z,-69.1,NZD,normal,מסעדות,Burger King,completed
22596679248,2022-12-11T22:00:00.000Z,-111.47,NZD,normal,,COSY COTTAGE THERMAL,completed
22590423030,2022-12-11T22:00:00.000Z,-115.71,NZD,normal,רפואה ובריאות,Putaruru Pharmacy,completed
22590414269,2022-12-11T22:00:00.000Z,-10.01,NZD,normal,תיירות,HOBBITON MOVIE TOURS,completed
22590390030,2022-12-10T22:00:00.000Z,-167.26,NZD,normal,מסעדות,CHAMBERS BAR AND RES,completed
22590389966,2022-12-10T22:00:00.000Z,-422.98,NZD,normal,שונות,DEINK TATTOO REMOVAL,completed
22583551470,2022-12-09T22:00:00.000Z,-79.96,NZD,normal,מסעדות,BO'S DUMPLING,completed
22583548836,2022-12-09T22:00:00.000Z,-99.34,NZD,normal,מסעדות,CRAVE CAFE,completed
22583547866,2022-12-09T22:00:00.000Z,-11.4,NZD,normal,מזון ומשקאות,Navya Superette,completed
22583547073,2022-12-09T22:00:00.000Z,-820.66,NZD,normal,אופנה,The Warehouse 207,completed
22583547047,2022-12-09T22:00:00.000Z,-246.45,NZD,normal,מזון ומשקאות,Pak N Save Lincoln Road,completed
22583544474,2022-12-09T22:00:00.000Z,-13.26,NZD,normal,,AT Hop Auckland,completed
22578572959,2022-12-08T22:00:00.000Z,-150.15,NZD,normal,רכב ותחבורה,Auckland Co OP Taxis,completed
22578572907,2022-12-08T22:00:00.000Z,-300.02,NZD,normal,תיירות,Ari Auckland Ltd,completed
22578462502,2022-12-07T22:00:00.000Z,-109.67,$,normal,מסעדות,ONGROUND HOSPITALITY LLC,completed
22810132849,2023-01-18T01:29:12.000Z,-100,₪,normal,תקשורת ומחשבים,"חברת פרטנר תקשורת בע""מ (הו""ק)",completed
22461632501,2022-11-19T18:45:00.000Z,-9489.4,₪,normal,ביטוח ופיננסים,"פליי מאני הזמנת מט""ח לטיסה-צמרת",completed
22626866777,2022-12-18T01:23:16.000Z,-100,₪,normal,תקשורת ומחשבים,"חברת פרטנר תקשורת בע""מ (הו""ק)",completed
22571377595,2022-12-07T08:41:00.000Z,-24.7,₪,normal,רפואה ובריאות,סופר פארם אבן גבירול 109,completed
22560467283,2022-12-05T16:34:00.000Z,-1000,₪,normal,שונות,"העברה ב BIT בנה""פ",completed
22544823758,2022-12-02T13:01:26.000Z,-38,₪,normal,מזון ומשקאות,גרציאני,completed
22548404619,2022-12-02T11:54:00.000Z,-127,₪,normal,מסעדות,פנדה פיתה,completed
22299503552,2022-10-22T21:00:00.000Z,-602.93,$,normal,פנאי בילוי,AMZN Mktp US*H83FR48Z1,completed
22299501748,2022-10-22T21:00:00.000Z,-538.8,NZD,normal,רכב ותחבורה,COOL CAR RENTALS,completed
22484294531,2022-11-22T16:47:00.000Z,-800,₪,normal,שונות,"העברה ב BIT בנה""פ",completed
22459273238,2022-11-18T12:05:23.000Z,-259.38,₪,normal,מזון ומשקאות,טיב טעם רשתות עדן תל אביב גן העיר,completed
22461991615,2022-11-18T11:21:26.000Z,-106.05,₪,normal,מסעדות,דליקטסן בראסרי,completed
22451684142,2022-11-18T01:22:42.000Z,-100,₪,normal,תקשורת ומחשבים,"חברת פרטנר תקשורת בע""מ (הו""ק)",completed
22419365718,2022-11-11T13:34:00.000Z,-30,₪,normal,מסעדות,קפה בר הבימה,completed
22417955356,2022-11-11T13:08:00.000Z,-165,₪,normal,מסעדות,"קפה נואר בע""מ",completed
22383379447,2022-11-04T10:56:34.000Z,-309.9,₪,normal,אופנה,דלתא גליל,completed
22379093907,2022-11-04T10:17:43.000Z,-16,₪,normal,רפואה ובריאות,אופטיקה הלפרין ד.סנטר,completed
22361623728,2022-11-01T16:20:00.000Z,-26,₪,normal,,קניון העיר תל אביב,completed
22341276000,2022-10-28T11:31:06.000Z,-90,₪,normal,מסעדות,מזנון אבן גבירול,completed
22339146833,2022-10-28T10:05:27.000Z,-1311.79,₪,normal,פנאי בילוי,למטייל נוקייה,completed
22297503233,2022-10-23T09:04:29.000Z,-600,₪,normal,שונות,PAYBOX,completed
22300846511,2022-10-23T07:07:00.000Z,-62,₪,normal,מסעדות,קפה בר הבימה,completed
22274752484,2022-10-19T00:36:36.000Z,-100,₪,normal,תקשורת ומחשבים,"חברת פרטנר תקשורת בע""מ (הו""ק)",completed
22271046856,2022-10-17T18:35:15.000Z,-109,₪,normal,פנאי בילוי,דקטלון יישראל בעמ,completed
22227229256,2022-10-10T16:10:34.000Z,-64.13,₪,normal,מזון ומשקאות,סופר יודה,completed
22200591679,2022-10-04T09:02:33.000Z,-104,₪,normal,מסעדות,בייקרי דיזינגוף,completed
22197561731,2022-10-04T08:32:09.000Z,-169.8,₪,normal,מזון ומשקאות,מרכז פירות וירקות,completed
22177584315,2022-09-30T17:19:33.000Z,-856.05,₪,normal,ריהוט ובית,"חברת החשמל לישראל בע""מ",completed
22142006488,2022-09-23T13:20:14.000Z,-160,₪,normal,מסעדות,25M שוק הכרמל,completed
22100905707,2022-09-17T23:53:31.000Z,-100,₪,normal,תקשורת ומחשבים,"חברת פרטנר תקשורת בע""מ (הו""ק)",completed
22101155193,2022-09-17T08:43:00.000Z,-266.2,₪,normal,אנרגיה,פז YELLOW / חופית,completed
22012540799,2022-09-01T18:16:02.000Z,-75.3,₪,normal,מסעדות,ארציאלי פיצריה,completed
21919043085,2022-08-18T00:29:32.000Z,-100,₪,normal,תקשורת ומחשבים,"חברת פרטנר תקשורת בע""מ (הו""ק)",completed
21870500370,2022-08-08T12:08:39.000Z,-612.33,₪,normal,ריהוט ובית,"חברת החשמל לישראל בע""מ",completed
21858354443,2022-08-06T12:44:24.000Z,-170,₪,normal,מסעדות,כביש 90,completed
21828835284,2022-08-01T09:19:27.000Z,-1350,₪,normal,ריהוט ובית,לאסט פרייס,completed
21828835283,2022-08-01T09:19:09.000Z,-98,₪,normal,ריהוט ובית,לאסט פרייס,completed
21828835282,2022-08-01T09:18:41.000Z,-1350,₪,normal,ריהוט ובית,לאסט פרייס,completed
21576807610,2022-06-18T21:00:00.000Z,-12.85,€,normal,מזון ומשקאות,Coca-Cola AUTOMAT,completed
21576700321,2022-06-17T21:00:00.000Z,-17.48,€,normal,מזון ומשקאות,BIO COMPANY SE,completed
21576700320,2022-06-17T21:00:00.000Z,-50.54,€,normal,מזון ומשקאות,BIO COMPANY SE,completed
21567539491,2022-06-17T21:00:00.000Z,-142.4,€,normal,מסעדות,A NEVER EVER ENDING LO,completed
21567532329,2022-06-17T21:00:00.000Z,-114.06,€,normal,מסעדות,FABULOUS ROUTE 66 DINE,completed
21563823041,2022-06-16T21:00:00.000Z,-183.98,€,normal,מסעדות,RESTAURANT VINO & BASI,completed
21563821427,2022-06-16T21:00:00.000Z,-69.91,€,normal,,HUMANA SECOND-HAND,completed
21560868669,2022-06-15T21:00:00.000Z,-158.22,€,normal,מסעדות,MADAMI,completed
21560830872,2022-06-15T21:00:00.000Z,-125.1,€,normal,תיירות,UZR*IFP/Memu Berlin Insti,completed
21556797156,2022-06-14T21:00:00.000Z,-27.63,€,normal,,DB Automaten,completed
21556678597,2022-06-14T21:00:00.000Z,-61.81,€,normal,מזון ומשקאות,Princess Cheesecake,completed
21556202130,2022-06-14T21:00:00.000Z,-47.63,€,normal,רפואה ובריאות,DM-Drogerie Markt,completed
21556586542,2022-06-13T21:00:00.000Z,-185.39,€,normal,תיירות,RYANAIR U7KE6V0,completed
21485559653,2022-06-01T21:00:00.000Z,-432.09,€,normal,פנאי בילוי,FS-PALAST,completed
21823831909,2022-07-31T07:51:00.000Z,-2833,₪,normal,ציוד ומשרד,סיילי ג.ל,completed
21770496189,2022-07-22T17:58:21.000Z,-37,₪,normal,רכב ותחבורה,GETT,completed
21760811547,2022-07-20T06:35:00.000Z,-192,₪,normal,פנאי בילוי,קופת כרטיסים,completed
21739944948,2022-07-18T00:46:44.000Z,-100,₪,normal,תקשורת ומחשבים,"חברת פרטנר תקשורת בע""מ (הו""ק)",completed
21651632858,2022-07-01T08:23:31.000Z,-43.8,₪,normal,,TLV STOCK,completed
21646179450,2022-06-30T09:18:34.000Z,-39,₪,normal,מסעדות,ארומה קרליבך,completed
21615481551,2022-06-26T17:55:00.000Z,-179.8,₪,normal,פנאי בילוי,דרים ספורט,completed
21613267930,2022-06-26T08:51:07.000Z,-220,₪,normal,,"רב חן ת""א- אינטרנט",completed
21607301027,2022-06-24T09:06:29.000Z,-305.58,₪,normal,מזון ומשקאות,טיב טעם רשתות עדן תל אביב גן העיר,completed
21575995125,2022-06-19T07:03:38.000Z,-100,₪,normal,תקשורת ומחשבים,"חברת פרטנר תקשורת בע""מ (הו""ק)",completed
21548096617,2022-06-14T15:15:42.000Z,-62.72,₪,normal,תיירות,ג'יי.אר.-היינמן טרמינל 1,completed
