identifier,date,chargedAmount,originalCurrency,type,category,description,status



"04557434033001218260940","2024-01-31T22:00:00.000Z",-52,"ILS","normal","מסעדות, קפה וברים","שניצל פוינט אבן גבירול","completed"
"74580004036251284318922","2024-02-03T22:00:00.000Z",-112.46,"ILS","normal","רפואה ובתי מרקחת","קרן מכבי","completed"
"04557434037001336171736","2024-02-04T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74403034039023003092404","2024-02-05T22:00:00.000Z",-68,"ILS","normal","מסעדות, קפה וברים","מיאזקי","completed"
"74403034042028004825582","2024-02-07T22:00:00.000Z",-110,"ILS","normal","מסעדות, קפה וברים","ג?נגו בר יין","completed"
"04557434040001440232262","2024-02-07T22:00:00.000Z",-21,"ILS","normal","מזון וצריכה","אוטלו","completed"
"04557434045001601367001","2024-02-12T22:00:00.000Z",-55,"ILS","normal","מסעדות, קפה וברים","בית החומוס והפול","completed"
"04557434046001639134059","2024-02-13T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74580004047251965530198","2024-02-13T22:00:00.000Z",-52,"ILS","normal","מסעדות, קפה וברים","צ'יבורק המסעדה הבוכרית","completed"
"04557434047001679753635","2024-02-14T22:00:00.000Z",-22,"ILS","normal","מסעדות, קפה וברים","פלאפל 4 טעמים אבן גבירול","completed"
"74987504047000616723084","2024-02-15T22:00:00.000Z",-99,"ILS","normal","פנאי, בידור וספורט","MICROSOFT*STORE        MSBILL.INFO   IE","completed"
"04557434050001757891111","2024-02-17T22:00:00.000Z",-20,"ILS","normal","מזון וצריכה","ווינוויס - בירה בשוק","completed"
"04557434052001821829756","2024-02-19T22:00:00.000Z",-59,"ILS","normal","מסעדות, קפה וברים","בכור את שושי בע""מ","completed"
"04557434053001861071946","2024-02-20T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74403034057027001566050","2024-02-24T22:00:00.000Z",-33.89,"ILS","normal","שירותי תקשורת","סלקום שירות","completed"
"04557434057002056010919","2024-02-25T22:00:00.000Z",-11,"ILS","normal","עירייה וממשלה","מ.התחבורה-פנגו מוביט","completed"
"74580004065253142029562","2024-03-03T22:00:00.000Z",-115.26,"ILS","normal","רפואה ובתי מרקחת","קרן מכבי","completed"
"74580004067253283544302","2024-03-05T22:00:00.000Z",-76,"ILS","normal","מסעדות, קפה וברים","אם בי בורגר דיזינגוף בע""מ","completed"
"04557434072002605655009","2024-03-06T22:00:00.000Z",-22,"ILS","normal","מסעדות, קפה וברים","פלאפל 4 טעמים אבן גבירול","completed"
"04557434070002515409333","2024-03-08T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
"74403034074027003082907","2024-03-11T22:00:00.000Z",-58,"ILS","normal","מסעדות, קפה וברים","ציקן סטיישן חשמונאים","completed"
"04557434080002884422055","2024-03-18T22:00:00.000Z",-52,"ILS","normal","מסעדות, קפה וברים","בית החומוס והפול","completed"
"04557434081002916543232","2024-03-19T22:00:00.000Z",-25,"ILS","normal","פנאי, בידור וספורט","UPAPP","completed"
