identifier,date,chargedAmount,originalCurrency,type,category,description,status
24139537461,2023-08-23T04:41:49.000Z,-40.8,₪,normal,מזון ומשקאות,מרכז פירות וירקות,completed
24108781473,2023-08-17T18:26:08.000Z,-135,₪,normal,מזון ומשקאות,יין בנחלה בעמ,completed
24107384659,2023-08-17T13:13:03.000Z,-19,₪,normal,מסעדות,בוטיק סנטרל,completed
24082690227,2023-08-14T11:06:00.000Z,-4.7,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
24065061192,2023-08-11T10:55:21.000Z,-37.7,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
24065061183,2023-08-11T10:49:02.000Z,-23.97,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
24046263093,2023-08-08T17:09:44.000Z,-269.8,₪,normal,אופנה,זארה רמת אביב,completed
24037897003,2023-08-07T11:28:46.000Z,-71.33,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
24037897000,2023-08-07T11:21:38.000Z,-101.33,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
24032057983,2023-08-06T10:15:39.000Z,-40,₪,normal,מסעדות,ג'סמינו,completed
24032147830,2023-08-06T07:39:18.000Z,-73.65,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
24035474952,2023-08-04T21:00:00.000Z,-52.98,€,normal,,TAP&GO MI CADORNA 03,completed
24026382204,2023-08-04T21:00:00.000Z,-48.89,€,normal,אופנה,CARPISA,completed
24035474500,2023-08-03T21:00:00.000Z,-8.97,€,normal,,CLESS TICKET ATM MILANO,completed
24019562213,2023-08-03T21:00:00.000Z,-13.04,€,normal,ציוד ומשרד,SMS GELATI MILANO SRL,completed
24019515698,2023-08-03T21:00:00.000Z,-114.07,€,normal,מסעדות,DRY MILANO,completed
24019448593,2023-08-03T21:00:00.000Z,-96.08,CHF,normal,מזון ומשקאות,Migros MM Spiez Terminus,completed
24019446018,2023-08-03T21:00:00.000Z,-499.72,CHF,normal,רכב ותחבורה,BLS Interlaken West,completed
24018391839,2023-08-02T21:00:00.000Z,-165.44,CHF,normal,מלונאות ואירוח,Jugendherberge Interlaken,completed
24018385795,2023-08-02T21:00:00.000Z,-212.11,CHF,normal,רכב ותחבורה,BLS Interlaken West,completed
