identifier,date,chargedAmount,originalCurrency,type,category,description,status
74403032244025002609158,2022-08-29T21:00:00.000Z,-67,ILS,normal,מזון וצריכה,ציקן סטיישן חשמונאים,completed
74580002245220092564317,2022-08-31T21:00:00.000Z,-20,ILS,normal,שונות,PAYBOX,completed
74580002245220093012449,2022-08-31T21:00:00.000Z,-20,ILS,normal,שונות,PAYBOX,completed
74580002251220418512025,2022-09-06T21:00:00.000Z,-60,ILS,normal,מזון וצריכה,מקסיקנה שרונה,completed
74580002257220751586614,2022-09-12T21:00:00.000Z,-59,ILS,normal,מזון וצריכה,מקסיקנה שרונה,completed
74987502257000054357626,2022-09-13T21:00:00.000Z,-10,ILS,normal,פנאי ובידור,MICROSOFT*ONEDRIVE STA MSBILL.INFO   IE,completed
04557432259001954827218,2022-09-14T21:00:00.000Z,-27,ILS,normal,מזון וצריכה,פנינת הים,completed
04557432259001963359112,2022-09-14T21:00:00.000Z,-122,ILS,normal,מזון וצריכה,DRIVE IN השדרה -,completed
74580002261220941441641,2022-09-16T21:00:00.000Z,-55,ILS,normal,שונות,PAYBOX,completed
04557432262002035298804,2022-09-17T21:00:00.000Z,-400,ILS,normal,פנאי ובידור,"פלנט ספא בע""מ",completed
04557432265002149688145,2022-09-20T21:00:00.000Z,-22,ILS,normal,מזון וצריכה,פלאפל 4 טעמים אבן גבירול,completed
74403032268025000631791,2022-09-21T21:00:00.000Z,-30,ILS,normal,מזון וצריכה,שניצל שונצינו,completed
74403032271024002066580,2022-09-24T21:00:00.000Z,-28.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
04557432273002500281852,2022-09-29T21:00:00.000Z,-31,ILS,normal,מזון וצריכה,פלאפל 4 טעמים אבן גבירול,completed
74580002277221927974326,2022-10-03T21:00:00.000Z,-105.3,ILS,normal,רפואה וקוסמטיקה,קרן מכבי,completed
74580002280222045215209,2022-10-05T21:00:00.000Z,-55,ILS,normal,מזון וצריכה,מקודנלד'ס אלונים קיבוץ אל,completed
04557432285002779290747,2022-10-10T21:00:00.000Z,-22,ILS,normal,מזון וצריכה,פלאפל 4 טעמים אבן גבירול,completed
74987502287000020501459,2022-10-13T21:00:00.000Z,-10,ILS,normal,פנאי ובידור,MICROSOFT*ONEDRIVE STA MSBILL.INFO   IE,completed
74580002288222531922138,2022-10-13T21:00:00.000Z,-35,ILS,normal,מזון וצריכה,חומוס א.א,completed
74423432289241526055182,2022-10-14T21:00:00.000Z,-17.43,ILS,normal,שונות,PAYPAL *ALIPAYSINGA    4029357733    SG,completed
04557432291002928968377,2022-10-16T21:00:00.000Z,-17.3,ILS,normal,מזון וצריכה,טוני וספה-שד רוטישלד,completed
04557432294003043810525,2022-10-19T21:00:00.000Z,-56,ILS,normal,מזון וצריכה,שניצל פוינט יד חרוצים,completed
74403032299028002216648,2022-10-24T21:00:00.000Z,-27.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
74403032300029002641584,2022-10-24T21:00:00.000Z,-100,ILS,normal,תחבורה,רב קו אונליין,completed
74403032300029003504500,2022-10-24T21:00:00.000Z,-55,ILS,normal,מזון וצריכה,ציקן סטיישן חשמונאים,completed
74403032303025007794722,2022-10-26T21:00:00.000Z,-41,ILS,normal,מזון וצריכה,ארומה קרליבך,completed
04557432308003559398299,2022-11-02T22:00:00.000Z,-40,ILS,normal,מזון וצריכה,בית החומוס והפול,completed
04557432308003562523230,2022-11-02T22:00:00.000Z,-50,ILS,normal,שונות,"העברה ב BIT בנה""פ",completed
74580002308223685565588,2022-11-03T22:00:00.000Z,-105.21,ILS,normal,רפואה וקוסמטיקה,קרן מכבי,completed
74580002315224060909889,2022-11-09T22:00:00.000Z,-400,ILS,normal,שונות,PAYBOX,completed
74580002317224132346951,2022-11-09T22:00:00.000Z,-286.95,ILS,normal,דלק חשמל וגז,רוזנפלד תחנות דלק והשקעות,completed
74403032320033003907875,2022-11-13T22:00:00.000Z,-115,ILS,normal,מזון וצריכה,פוזה תל אביב,completed
74987502318000043420656,2022-11-13T22:00:00.000Z,-10,ILS,normal,פנאי ובידור,MICROSOFT*SUBSCRIPTION MSBILL.INFO   IE,completed
74403032321028002506487,2022-11-14T22:00:00.000Z,-85,ILS,normal,מזון וצריכה,קופי בר,completed
74580002320224365302122,2022-11-14T22:00:00.000Z,-20,ILS,normal,שונות,PAYBOX,completed
04557432324004019552913,2022-11-17T22:00:00.000Z,-70,ILS,normal,שונות,"העברה ב BIT בנה""פ",completed
04557432325004057512182,2022-11-19T22:00:00.000Z,-4240,ILS,normal,שונות,"צמרת-סטודיולנד מצלמות בע""",completed
74580002327224762212729,2022-11-21T22:00:00.000Z,-45,ILS,normal,מזון וצריכה,בישולים,completed
74403032331027002437642,2022-11-24T22:00:00.000Z,-33.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
74580002334225235000717,2022-11-28T22:00:00.000Z,-48,ILS,normal,מזון וצריכה,אבי אליאס - SAILE,completed
74580002339225497330260,2022-11-29T22:00:00.000Z,-1712,ILS,normal,ביטוח,הפניקס ביטוח רכב חובה,completed
74403032338028001449128,2022-11-30T22:00:00.000Z,-59,ILS,normal,מזון וצריכה,פורט 19 חשמונאים,completed
74580002338225421425658,2022-11-30T22:00:00.000Z,-537.8,ILS,normal,דלק חשמל וגז,"חברת החשמל לישראל בע""מ",completed
74580002338225421425666,2022-11-30T22:00:00.000Z,537.8,ILS,normal,דלק חשמל וגז,"חברת החשמל לישראל בע""מ",completed
74580002338225421445748,2022-11-30T22:00:00.000Z,-537.8,ILS,normal,דלק חשמל וגז,"חברת החשמל לישראל בע""מ",completed
74580002338225421445755,2022-11-30T22:00:00.000Z,537.8,ILS,normal,דלק חשמל וגז,"חברת החשמל לישראל בע""מ",completed
74580002338225421535779,2022-12-01T22:00:00.000Z,-537.8,ILS,normal,דלק חשמל וגז,"חברת החשמל לישראל בע""מ",completed
74580002339225494654829,2022-12-03T22:00:00.000Z,-105.8,ILS,normal,רפואה וקוסמטיקה,קרן מכבי,completed
74403032342026002101221,2022-12-05T22:00:00.000Z,-100,ILS,normal,תחבורה,רב קו אונליין,completed
74987502348001010977078,2022-12-13T22:00:00.000Z,-10,ILS,normal,פנאי ובידור,MICROSOFT*SUBSCRIPTION MSBILL.INFO   IE,completed
74403032360023001000196,2022-12-24T22:00:00.000Z,-33.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
74580002363226903281161,2022-12-27T22:00:00.000Z,-1191,ILS,normal,ביטוח,הפניקס ביטוח שנתי,completed
74580003003227211699346,2023-01-01T22:00:00.000Z,-108.1,ILS,normal,רפואה וקוסמטיקה,קרן מכבי,completed
74580003015227825752362,2023-01-12T22:00:00.000Z,-20,ILS,normal,שונות,PAYBOX,completed
74987503014000203903074,2023-01-13T22:00:00.000Z,-10,ILS,normal,פנאי ובידור,MICROSOFT*SUBSCRIPTION MSBILL.INFO   IE,completed
74403033026023001682823,2023-01-24T22:00:00.000Z,-33.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
74580003034229014710216,2023-02-01T22:00:00.000Z,-108.4,ILS,normal,רפואה וקוסמטיקה,קרן מכבי,completed
04557433039006699782920,2023-02-06T22:00:00.000Z,-45.14,ILS,normal,מזון וצריכה,שומשום בר בריא,completed
74580003040229326748492,2023-02-07T22:00:00.000Z,-105,ILS,normal,מזון וצריכה,איזיפיזי,completed
74987503045000310369071,2023-02-13T22:00:00.000Z,-10,ILS,normal,פנאי ובידור,MICROSOFT*SUBSCRIPTION MSBILL.INFO   IE,completed
74403033057042001795700,2023-02-24T22:00:00.000Z,-33.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
74580003062230694878641,2023-03-01T22:00:00.000Z,-108.73,ILS,normal,רפואה וקוסמטיקה,קרן מכבי,completed
74580003074231391925509,2023-03-13T22:00:00.000Z,-42,ILS,normal,מזון וצריכה,חומוס זיתון,completed
74987503073000016527076,2023-03-13T22:00:00.000Z,-10,ILS,normal,פנאי ובידור,MICROSOFT*SUBSCRIPTION MSBILL.INFO   IE,completed
74580003075231449417821,2023-03-14T22:00:00.000Z,-58,ILS,normal,מזון וצריכה,חומוס זיתון,completed
04557433082008164021988,2023-03-20T22:00:00.000Z,-45.88,ILS,normal,מזון וצריכה,שומשום בר בריא,completed
74403033085042001960888,2023-03-24T21:00:00.000Z,-33.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
74403033086028003119325,2023-03-24T21:00:00.000Z,-85,ILS,normal,מזון וצריכה,כביש 90,completed
74580003088232222329816,2023-03-27T21:00:00.000Z,-42,ILS,normal,מזון וצריכה,חומוס זיתון,completed
74403033093024000306495,2023-03-31T21:00:00.000Z,-196,ILS,normal,מזון וצריכה,תדר פיצה,completed
74580003094232612116353,2023-04-02T21:00:00.000Z,-109.27,ILS,normal,רפואה וקוסמטיקה,קרן מכבי,completed
74403033097028003780065,2023-04-03T21:00:00.000Z,-72,ILS,normal,מזון וצריכה,מיאזקי,completed
74580003095232682696150,2023-04-03T21:00:00.000Z,-16,ILS,normal,מזון וצריכה,WAYCUP COFFEE,completed
74403033099022002386808,2023-04-04T21:00:00.000Z,-150,ILS,normal,תחבורה,רב קו אונליין,completed
04557433097008723634779,2023-04-06T21:00:00.000Z,-60,ILS,normal,פנאי ובידור,INTERPOOL,completed
74987503104000218633071,2023-04-13T21:00:00.000Z,-10,ILS,normal,פנאי ובידור,MICROSOFT*MICROSOFT 36 MSBILL.INFO   IE,completed
04557433109000091807786,2023-04-18T21:00:00.000Z,-45,ILS,normal,מזון וצריכה,בית החומוס והפול,completed
74580003110233482853372,2023-04-18T21:00:00.000Z,-32,ILS,normal,מזון וצריכה,WAYCUP COFFEE,completed
74403033117030002676662,2023-04-24T21:00:00.000Z,-33.89,ILS,normal,שרותי תקשורת,סלקום שירות,completed
74580003117233866416013,2023-04-24T21:00:00.000Z,-50,ILS,normal,מזון וצריכה,קונגרס בזל,completed
04557433123000607967886,2023-05-01T21:00:00.000Z,-50,ILS,normal,מזון וצריכה,שניצל בחלה,completed
74580003123234292930645,2023-05-01T21:00:00.000Z,-109.69,ILS,normal,רפואה וקוסמטיקה,קרן מכבי,completed
74580003123234295278158,2023-05-01T21:00:00.000Z,-32,ILS,normal,מזון וצריכה,WAYCUP COFFEE,completed
