identifier,date,chargedAmount,originalCurrency,type,category,description,status
23928296753,2023-07-21T09:28:24.000Z,-63.31,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23896508316,2023-07-16T15:53:00.000Z,-194.48,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23823014354,2023-07-04T16:13:06.000Z,-162.15,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23747948136,2023-06-23T09:19:03.000Z,-158.74,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23699968216,2023-06-15T16:42:52.000Z,-226.59,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23629702564,2023-06-04T16:14:23.000Z,-56.38,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23622487493,2023-06-02T07:00:32.000Z,-188.76,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23569731903,2023-05-25T09:18:47.000Z,-148.98,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23513131703,2023-05-16T16:11:50.000Z,-173.02,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23490679955,2023-05-12T06:43:01.000Z,-178.24,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23449437023,2023-05-05T07:26:38.000Z,-390.45,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23434368739,2023-05-01T21:00:00.000Z,-65,₪,normal,שונות,PAYBOX,completed
23372146801,2023-04-23T16:51:57.000Z,-210.75,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23355951814,2023-04-20T17:53:05.000Z,-140.13,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
23333499757,2023-04-16T14:33:00.000Z,-20,₪,normal,תקשורת ומחשבים,PAYBOX,completed
23317826311,2023-04-14T07:45:53.000Z,-288.95,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23135130833,2023-03-13T17:20:25.000Z,-175.82,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23097588105,2023-03-07T14:28:19.000Z,-199.37,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22956771575,2023-02-12T17:41:05.000Z,-159.75,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22923894652,2023-02-06T18:20:27.000Z,-330.54,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22507983534,2022-11-27T17:20:01.000Z,-160.66,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22379317025,2022-11-04T11:48:23.000Z,-289.33,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
22326756447,2022-10-27T16:28:07.000Z,-191.69,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22252904994,2022-10-14T10:53:35.000Z,-191.29,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22177205578,2022-09-30T11:08:21.000Z,-167.02,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22132144477,2022-09-22T16:29:42.000Z,-148.22,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22089284763,2022-09-15T15:30:19.000Z,-132.41,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21982044097,2022-08-28T16:46:20.000Z,-200.46,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21923034405,2022-08-18T16:43:55.000Z,-175.59,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21889296735,2022-08-12T09:50:51.000Z,-288.66,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21855727066,2022-08-07T16:29:25.000Z,-136.51,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21747869479,2022-07-19T18:06:26.000Z,-205.12,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21695674636,2022-07-10T17:41:37.000Z,-212.79,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21483838956,2022-06-02T16:36:08.000Z,-237.52,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21434620094,2022-05-25T13:19:35.000Z,-186.27,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21371860014,2022-05-13T16:02:46.000Z,-132,₪,normal,NONW,"רב חן תא- אינטרנט",completed
21372404067,2022-05-13T09:07:30.000Z,-192.01,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21361837847,2022-05-12T07:41:20.000Z,-44,₪,normal,NONE,"רב חן תא- אינטרנט",completed
21340132778,2022-05-08T18:59:17.000Z,-51.9,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
21292765961,2022-04-28T17:10:00.000Z,-221.75,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21268888865,2022-04-25T17:42:04.000Z,-15,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21235541925,2022-04-18T14:16:38.000Z,-177.7,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21060847584,2022-03-17T14:14:05.000Z,-150.6,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
20990391255,2022-03-03T08:21:36.000Z,-88.58,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
20931590717,2022-02-21T17:38:02.000Z,-166.78,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
20887765419,2022-02-13T18:11:15.000Z,-115.44,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
20861780378,2022-02-07T19:03:23.000Z,-22,₪,normal,מזון ומשקאות,טבע קסטל,completed





