identifier,date,chargedAmount,originalCurrency,type,category,description,status
24083093587,2023-08-14T16:51:03.000Z,-204.06,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23916544986,2023-07-19T12:59:18.000Z,-15.94,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23880686916,2023-07-13T18:47:35.000Z,-267.71,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
23742652077,2023-06-22T14:10:09.000Z,-75.21,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
23729334347,2023-06-20T15:01:07.000Z,-129.05,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23526599632,2023-05-19T11:48:21.000Z,-107.81,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
23526599589,2023-05-19T11:00:13.000Z,-209.16,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
23293931259,2023-04-09T08:18:00.000Z,-317.65,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23246007588,2023-03-31T09:45:16.000Z,-219.2,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
23208801939,2023-03-26T09:30:37.000Z,-309.18,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
23087260666,2023-03-05T13:47:14.000Z,-243.8,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22569752992,2022-12-07T08:52:42.000Z,-45.9,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22544170131,2022-12-02T10:11:02.000Z,-41.95,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22537885254,2022-12-01T20:28:34.000Z,-164.6,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
22346295142,2022-10-30T08:23:15.000Z,-99.57,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22295172698,2022-10-21T09:17:03.000Z,-24.57,₪,normal,מסעדות,עץ הדעת- חנות הטבע שלי,completed
22290935072,2022-10-21T09:15:06.000Z,-181.71,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22263018555,2022-10-16T08:35:07.000Z,-34.02,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22062567567,2022-09-11T17:47:54.000Z,-122.06,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22053452025,2022-09-09T08:53:30.000Z,-116.88,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22017236066,2022-09-02T09:57:11.000Z,-105.05,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
22005040724,2022-08-31T17:03:03.000Z,-140.7,₪,normal,רפואה ובריאות,בי גן העיר,completed
21926526172,2022-08-19T08:46:03.000Z,-99.39,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21882179951,2022-08-11T15:26:43.000Z,-13.51,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21885598002,2022-08-11T15:21:56.000Z,-14,₪,normal,מזון ומשקאות,לחמים אבן גבירול,completed
21882287982,2022-08-11T15:15:15.000Z,-94,₪,normal,מסעדות,קונגרס בזל,completed
21875316171,2022-08-10T15:11:36.000Z,-198.79,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
21878464159,2022-08-10T12:11:00.000Z,-53,₪,normal,מסעדות,אלקלעי יין בע''מ,completed
21855724918,2022-08-07T09:14:06.000Z,-291.11,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21822216370,2022-07-31T18:09:40.000Z,-78.41,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21807228695,2022-07-28T18:01:59.000Z,-259.78,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
21775450778,2022-07-24T13:58:57.000Z,-154.25,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21638153980,2022-06-29T15:24:41.000Z,-47.5,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21536044431,2022-06-12T18:26:11.000Z,-55.93,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21409608286,2022-05-20T09:29:48.000Z,-61.99,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21411110210,2022-05-20T09:06:26.000Z,-407.3,₪,normal,מזון ומשקאות,טיב טעם רשתות עדן תל אביב גן העיר,completed
21378893928,2022-05-15T16:55:40.000Z,-60.56,₪,normal,מזון ומשקאות,שופרסל שלי נוה,completed
21351055043,2022-05-10T18:16:24.000Z,-129.15,₪,normal,מזון ומשקאות,שלי אבן גבירול,completed
21340199494,2022-05-08T10:39:40.000Z,-187.45,₪,normal,רפואה ובריאות,בי גן העיר,completed
21340474197,2022-05-08T10:26:04.000Z,-25.9,₪,normal,ציוד ומשרד,גרפוס בעמ,completed
